模块名称,总功能数,数据库完成,数据库总数,后端API完成,后端API总数,API测试完成,API测试总数,前端完成,前端总数,E2E测试完成,E2E测试总数,整体完成率
01_用户认证与授权,6,6,6,6,6,5,6,6,6,3,6,72.2%
02_考试管理,10,10,10,10,10,10,10,10,10,8,10,96.0%
03_题库管理,10,9,10,9,10,8,10,9,10,6,10,82.0%
04_题库草稿与审核系统,7,7,7,7,7,3,7,7,7,3,7,77.1%
05_成绩管理,7,7,7,7,7,6,7,7,7,6,7,94.3%
06_用户管理,6,6,6,6,6,4,6,6,6,0,6,73.3%
07_Activity活动系统,16,16,16,15,15,11,15,11,15,11,15,84.2%
07.1_活动管理功能细化,19,19,19,13,19,0,19,6,19,0,19,40.0%
07.2_练习活动时间限制优化,23,0,5,0,6,0,7,0,6,0,5,0.0%
07.3_学生答题与教师评卷功能,22,21,21,21,21,21,21,17,17,22,22,100.0%
08_系统配置,4,4,4,4,4,0,4,4,4,0,4,60.0%
08.1_活动组卷管理系统,11,11,11,11,11,11,11,11,11,0,11,81.8%
09_个人成长系统,12,4,12,0,12,0,12,7,12,0,12,19.2%
10_学生自主注册系统,10,10,10,8,9,7,9,7,8,8,10,87.0%
11_成绩查询系统优化,5,5,5,1,5,0,5,0,5,0,5,24.0%
合计,168,135,149,118,148,86,149,108,143,67,149,69.6%
