功能,数据库,后端API,API测试,前端,E2E测试,备注
学生端-测评中心：查看测评列表,✅,✅,❌,🐛,❌,API已实现/api/student/activities/assessment，前端字段映射已修复(2025-10-31)
学生端-测评中心：筛选测评（科目/年级/等级）,✅,✅,❌,✅,❌,前端3个筛选器已实现，API支持参数
学生端-测评中心：查看测评详情,✅,✅,❌,🚧,❌,API已实现，前端详情页待完善
学生端-测评中心：检查参加资格,✅,✅,❌,🚧,❌,API已有基础逻辑，需前端集成
学生端-测评中心：开始测评,✅,✅,❌,🚧,❌,后端API已实现，前端跳转待完善
学生端-测评中心：查看成绩和证书,✅,✅,❌,🚧,❌,复用现有成绩模块，待集成
学生端-练习中心：查看练习列表,✅,✅,❌,🐛,🚧,API已实现/api/student/activities/practice，前端字段映射已修复(2025-10-31)，STU202测试通过
学生端-练习中心：筛选练习,✅,✅,❌,✅,❌,前端3个筛选器已实现（科目/年级/能力等级）
学生端-练习中心：开始练习,✅,✅,❌,✅,🐛,后端和前端已实现，但测试活动缺题目配置(STU203-205失败)
学生端-练习中心：重做练习（如允许）,✅,✅,❌,✅,❌,后端已实现，前端集成完成
教师端-练习管理：只显示练习类型,✅,❌,❌,❌,❌,修改ActivityListPage
教师端-练习管理：创建练习（禁止创建测评）,✅,❌,❌,❌,❌,修改ActivityFormPage
教师端-练习管理：只看自己的练习,✅,❌,❌,❌,❌,后端API筛选
教师端-练习管理：编辑/删除练习,✅,✅,❌,✅,❌,已有功能，需测试
管理员端-测评管理：查看所有测评,✅,❌,❌,❌,❌,需新建API /api/activities/admin/assessments
管理员端-测评管理：创建测评,✅,❌,❌,❌,❌,需新建API /api/activities/admin/assessment
管理员端-测评管理：配置证书模板,✅,✅,❌,❌,❌,后端已有，需前端
管理员端-测评管理：设置目标受众,✅,✅,❌,❌,❌,后端已有，需前端
管理员端-测评管理：管理测评范围,✅,✅,❌,❌,❌,后端已有，需前端
